,Unnamed: 0,Id,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE,Primary Label,primary_probability,contest_id,contestant_id,won,probability,posterior,in_sample,secondary_probability,primary_brier,secondary_brier
39,39,40,CH,227,4,1.79,1.79,0.0,0.0,0,1,0.920961,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9473,39,1,1,0.9473,0.990295358649789,1,0.9522259473012734,0.002777289999999997,0.0022823601112607053
40,40,41,CH,229,4,1.79,1.79,0.0,0.0,0,0,0.936769,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9538,40,1,1,0.9538,0.9878381211994128,1,0.9522259473012734,0.0021344400000000018,0.0022823601112607053
41,41,42,CH,230,4,1.79,1.79,0.0,0.0,0,0,0.949415,1.79,1.79,0.0,No,0.0,0.0,0.0,4,CH,0.9734,41,1,1,0.9734,0.9929853517639776,1,0.9522259473012734,0.0007075599999999977,0.0022823601112607053
42,42,43,CH,233,4,1.79,2.09,0.0,0.0,0,0,0.959532,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9826,42,1,1,0.9826,0.9951179820992676,1,0.9522259473012734,0.000302759999999999,0.0022823601112607053
43,43,44,CH,236,4,1.79,2.09,0.0,0.0,0,0,0.967626,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9828,43,1,1,0.9828,0.993103448275862,1,0.9522259473012734,0.00029583999999999974,0.0022823601112607053
44,44,45,MM,237,4,1.79,2.09,0.0,0.0,0,0,0.9741,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9841,44,1,0,0.9841,0.2911392405063291,1,0.9522259473012734,0.9684528099999999,0.9067342547138075
45,45,46,CH,240,4,1.79,2.23,0.0,0.0,0,0,0.77928,2.23,1.79,0.44,No,0.0,0.0,0.44,4,CH,0.956,45,1,1,0.956,0.9886839899413244,1,0.9522259473012734,0.0019360000000000035,0.0022823601112607053
46,46,47,CH,244,4,1.99,2.23,0.0,0.0,0,0,0.823424,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9539,46,1,1,0.9539,0.9904086738949124,1,0.9522259473012734,0.002125210000000003,0.0022823601112607053
47,47,48,CH,245,4,1.99,2.23,0.0,0.0,0,0,0.858739,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9575,47,1,1,0.9575,0.9901796907647304,1,0.9522259473012734,0.0018062499999999984,0.0022823601112607053
48,48,49,CH,246,4,1.99,2.23,0.0,0.0,0,0,0.886992,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.949,48,1,1,0.949,0.9839628613631568,1,0.9522259473012734,0.002601000000000005,0.0022823601112607053
49,49,50,CH,247,4,1.99,2.23,0.0,0.0,0,0,0.909593,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9481,49,1,1,0.9481,0.9874240201215678,1,0.9522259473012734,0.0026936099999999943,0.0022823601112607053
50,50,51,MM,248,4,1.99,2.23,0.0,0.0,0,0,0.927675,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.6075,50,1,0,0.6075,0.1200615700359158,1,0.6693352740477042,0.36905625000000003,0.4480097090845153
51,51,52,CH,249,4,1.99,2.23,0.0,0.0,0,0,0.74214,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9465,51,1,1,0.9465,0.9856084656084656,1,0.9522259473012734,0.0028622499999999993,0.0022823601112607053
52,52,53,CH,252,4,1.99,2.23,0.0,0.0,0,0,0.793712,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9532,52,1,1,0.9532,0.984750365573428,1,0.9522259473012734,0.0021902399999999956,0.0022823601112607053
53,53,54,MM,254,4,1.99,2.29,0.0,0.0,1,0,0.834969,2.29,1.99,0.3,No,0.0,0.0,0.3,4,CH,0.6061,53,1,0,0.6061,0.1128126595201634,1,0.6693352740477042,0.36735721,0.4480097090845153
54,54,55,CH,256,4,1.99,2.29,0.0,0.0,0,0,0.667976,2.29,1.99,0.3,No,0.0,0.0,0.3,4,CH,0.7589,54,1,1,0.7589,0.9477278697136852,1,0.7763521480116087,0.058129209999999994,0.050018361699021394
55,55,56,CH,256,4,1.99,2.29,0.0,0.0,0,0,0.73438,2.29,1.99,0.3,No,0.0,0.0,0.3,4,CH,0.9398,55,1,1,0.9398,0.9814814814814816,1,0.9522259473012734,0.0036240400000000037,0.0022823601112607053
56,56,57,CH,257,4,1.99,2.29,0.0,0.4,0,1,0.787504,1.89,1.99,-0.1,No,0.174672,0.0,0.3,4,CH,0.8899,56,1,1,0.8899,0.9752196440639784,1,0.9473137643766814,0.012122009999999994,0.0027758394241558506
57,57,58,CH,258,4,1.99,2.29,0.0,0.0,0,0,0.830003,2.29,1.99,0.3,No,0.0,0.0,0.3,4,CH,0.948,57,1,1,0.948,0.9869253479544496,1,0.9522259473012734,0.002704000000000005,0.0022823601112607053
58,58,59,CH,258,7,1.86,2.18,0.0,0.0,0,0,0.864003,2.18,1.86,0.32,Yes,0.0,0.0,0.32,0,CH,0.9855,58,1,1,0.9855,0.996341463414634,1,0.9522259473012734,0.00021024999999999877,0.0022823601112607053
59,59,60,CH,259,4,1.99,2.29,0.0,0.0,0,0,0.891202,2.29,1.99,0.3,No,0.0,0.0,0.3,4,CH,0.9642,59,1,1,0.9642,0.9871182214834824,1,0.9522259473012734,0.0012816400000000038,0.0022823601112607053
60,60,61,CH,260,4,1.99,2.09,0.0,0.0,0,0,0.912962,2.09,1.99,0.1,No,0.0,0.0,0.1,4,CH,0.9683,60,1,1,0.9683,0.9911065149948294,1,0.9522259473012734,0.0010048899999999968,0.0022823601112607053
61,61,62,CH,263,4,1.99,2.09,0.0,0.0,0,0,0.930369,2.09,1.99,0.1,No,0.0,0.0,0.1,4,CH,0.949,61,1,1,0.949,0.9872144204569272,1,0.9522259473012734,0.002601000000000005,0.0022823601112607053
62,62,63,MM,265,4,1.99,2.09,0.1,0.0,0,0,0.944296,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.5622,62,1,0,0.5622,0.1235266383781235,1,0.5106209281205403,0.31606884,0.26073373223468194
63,63,64,CH,265,4,1.99,2.09,0.1,0.0,0,0,0.755436,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.9393,63,1,1,0.9393,0.9866213633467829,1,0.9522259473012734,0.0036844899999999973,0.0022823601112607053
64,64,65,CH,266,4,1.99,2.09,0.1,0.0,0,0,0.804349,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.9379,64,1,1,0.9379,0.9835645677694772,1,0.9522259473012734,0.0038564100000000054,0.0022823601112607053
65,65,66,CH,267,4,1.99,2.09,0.1,0.0,0,0,0.843479,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.9301,65,1,1,0.9301,0.983634797588286,1,0.9473137643766814,0.0048860099999999945,0.0027758394241558506
66,66,67,MM,269,4,1.99,2.09,0.1,0.0,0,0,0.874783,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.5583,66,1,0,0.5583,0.1070780399274047,1,0.5106209281205403,0.31169889,0.26073373223468194
67,67,68,MM,270,4,1.99,2.09,0.1,0.0,0,0,0.699827,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.5729,67,1,0,0.5729,0.1201130475741875,1,0.6693352740477042,0.32821440999999996,0.4480097090845153
68,68,69,CH,272,4,1.99,2.09,0.0,0.4,0,0,0.559861,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4,CH,0.6615,68,1,1,0.6615,0.9307578008915304,1,0.8192513691645326,0.11458225000000001,0.03267006754889609
69,69,70,CH,272,4,1.99,2.09,0.0,0.4,0,0,0.647889,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4,CH,0.7779,69,1,1,0.7779,0.9522486104092976,1,0.8287616386925131,0.04932840999999998,0.029322576383273437
70,70,71,CH,274,4,1.99,2.09,0.0,0.4,0,0,0.718311,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4,CH,0.8739,70,1,1,0.8739,0.973010064043916,1,0.8006718324935185,0.01590121,0.039731718361491954
71,71,72,CH,275,4,2.09,2.09,0.0,0.4,0,0,0.774649,1.69,2.09,-0.4,No,0.191388,0.0,0.0,4,CH,0.8689,71,1,1,0.8689,0.9666052510363888,1,0.8006718324935185,0.017187209999999998,0.039731718361491954
72,72,73,CH,276,4,2.09,2.09,0.2,0.4,0,0,0.819719,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,4,CH,0.9456,72,1,1,0.9456,0.9872827469266638,1,0.9522259473012734,0.0029593600000000003,0.0022823601112607053
73,73,74,CH,278,4,2.09,2.09,0.2,0.0,0,0,0.855775,2.09,1.89,0.2,No,0.0,0.095694,0.0,4,CH,0.9703,73,1,1,0.9703,0.992150382152448,1,0.9522259473012734,0.0008820899999999969,0.0022823601112607053
74,74,75,CH,230,7,1.69,1.99,0.0,0.0,0,1,0.68,1.99,1.69,0.3,Yes,0.0,0.0,0.3,0,CH,0.9191,74,1,1,0.9191,0.9742312689475964,1,0.9473137643766814,0.0065448099999999955,0.0027758394241558506
75,75,76,CH,238,4,1.79,2.09,0.0,0.0,0,0,0.744,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.9388,75,1,1,0.9388,0.9854731894894252,1,0.9522259473012734,0.003745440000000004,0.0022823601112607053
76,76,77,CH,239,4,1.79,2.23,0.0,0.0,0,0,0.7952,2.23,1.79,0.44,No,0.0,0.0,0.44,4,CH,0.9397,76,1,1,0.9397,0.982798895731578,1,0.9522259473012734,0.0036360900000000024,0.0022823601112607053
77,77,78,CH,251,4,1.99,2.23,0.0,0.0,0,0,0.83616,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9595,77,1,1,0.9595,0.9910023017367652,1,0.9522259473012734,0.0016402499999999985,0.0022823601112607053
78,78,79,CH,252,2,1.89,2.09,0.13,0.0,0,0,0.868928,2.09,1.76,0.33,No,0.0,0.068783,0.2,2,CH,0.9793,78,1,1,0.9793,0.9930739458138114,1,0.9522259473012734,0.0004284900000000021,0.0022823601112607053
79,79,80,CH,255,4,1.99,2.29,0.0,0.0,0,0,0.895142,2.29,1.99,0.3,No,0.0,0.0,0.3,4,CH,0.9425,79,1,1,0.9425,0.9853191489361702,1,0.9522259473012734,0.0033062499999999993,0.0022823601112607053
80,80,81,CH,263,4,1.99,2.09,0.0,0.0,0,0,0.916114,2.09,1.99,0.1,No,0.0,0.0,0.1,4,CH,0.9686,80,1,1,0.9686,0.9917763157894736,1,0.9522259473012734,0.000985959999999999,0.0022823601112607053
81,81,82,CH,264,4,1.99,2.09,0.1,0.0,0,0,0.932891,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.6724,81,1,1,0.6724,0.9239487026543394,1,0.7471977159533905,0.10732176,0.06390899481918265
82,82,83,CH,269,4,1.99,2.09,0.1,0.0,0,0,0.946313,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.9682,82,1,1,0.9682,0.99319166494739,1,0.9522259473012734,0.0010112400000000033,0.0022823601112607053
83,83,84,CH,273,4,1.99,2.09,0.0,0.4,0,0,0.95705,1.69,1.99,-0.3,No,0.191388,0.0,0.1,4,CH,0.9705,83,1,1,0.9705,0.9902892561983472,1,0.9522259473012734,0.0008702499999999983,0.0022823601112607053
84,84,85,CH,275,4,2.09,2.09,0.0,0.4,0,0,0.96564,1.69,2.09,-0.4,No,0.191388,0.0,0.0,4,CH,0.9656,84,1,1,0.9656,0.9888198757763976,1,0.9522259473012734,0.001183359999999999,0.0022823601112607053
85,85,86,CH,276,2,1.99,2.18,0.0,0.0,0,1,0.972512,2.18,1.99,0.19,No,0.0,0.0,0.19,2,CH,0.9785,85,1,1,0.9785,0.9934760448521917,1,0.9522259473012734,0.0004622499999999984,0.0022823601112607053
86,86,87,CH,277,4,2.09,2.09,0.2,0.4,0,0,0.97801,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,4,CH,0.9806,86,1,1,0.9806,0.994275199345737,1,0.9522259473012734,0.0003763599999999989,0.0022823601112607053
87,87,88,CH,252,4,1.99,2.23,0.0,0.0,0,0,0.68,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.9106,87,1,1,0.9106,0.976621085134539,1,0.9473137643766814,0.007992360000000006,0.0027758394241558506
88,88,89,CH,275,4,2.09,2.09,0.0,0.4,0,0,0.744,1.69,2.09,-0.4,No,0.191388,0.0,0.0,4,CH,0.85,88,1,1,0.85,0.965168274888209,1,0.8006718324935185,0.022500000000000006,0.039731718361491954
89,89,90,CH,277,3,2.09,2.09,0.2,0.4,0,0,0.7952,1.69,1.89,-0.2,No,0.191388,0.095694,0.0,3,CH,0.9267,89,1,1,0.9267,0.9793237131165194,1,0.9473137643766814,0.005372890000000004,0.0027758394241558506
90,90,91,CH,237,4,1.79,2.09,0.0,0.0,0,0,0.5,2.09,1.79,0.3,No,0.0,0.0,0.3,4,CH,0.8318,90,1,1,0.8318,0.9618979151689432,1,0.821384661241995,0.028291240000000006,0.031903439239636865
91,91,92,CH,269,4,1.99,2.09,0.1,0.0,0,0,0.6,2.09,1.89,0.2,No,0.0,0.050251,0.1,4,CH,0.6959,91,1,1,0.6959,0.9289586305278174,1,0.8101459792313352,0.09247681000000002,0.03604454920202859
92,92,93,CH,242,4,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.24,No,0.0,0.0,0.24,4,CH,0.6556,92,1,1,0.6556,0.9283076923076924,1,0.8027690017808172,0.11861136000000003,0.03890006665853528
93,93,94,CH,244,7,1.86,2.09,0.0,0.2,0,0,0.6,1.89,1.86,0.03,Yes,0.095694,0.0,0.23,0,CH,0.796,93,1,1,0.796,0.9553030303030304,1,0.8287616386925131,0.041615999999999986,0.029322576383273437
94,94,95,CH,241,2,1.75,1.99,0.0,0.3,0,1,0.5,1.69,1.75,-0.06,No,0.150754,0.0,0.24,2,CH,0.5168,94,1,1,0.5168,0.8963197467352592,1,0.5323983827282405,0.23348223999999995,0.21865127247516508
95,95,96,CH,277,2,1.99,2.18,0.0,0.0,0,0,0.6,2.18,1.99,0.19,No,0.0,0.0,0.19,2,CH,0.8901,95,1,1,0.8901,0.9786276715410572,1,0.9473137643766814,0.01207801,0.0027758394241558506
96,96,97,CH,277,7,1.99,2.13,0.5,0.0,0,1,0.4,2.13,1.49,0.64,Yes,0.0,0.251256,0.14,0,CH,0.6857,96,1,1,0.6857,0.9346938775510204,1,0.8118743917140145,0.09878449000000002,0.03539124449297204
97,97,98,CH,227,2,1.69,1.69,0.0,0.0,0,0,0.744,1.69,1.69,0.0,No,0.0,0.0,0.0,2,CH,0.9154,97,1,1,0.9154,0.9785323110624315,1,0.9473137643766814,0.007157160000000002,0.0027758394241558506
98,98,99,CH,229,2,1.69,1.69,0.0,0.0,0,0,0.7952,1.69,1.69,0.0,No,0.0,0.0,0.0,2,CH,0.8779,98,1,1,0.8779,0.9693321217628352,1,0.8006718324935185,0.014908409999999997,0.039731718361491954
99,99,100,CH,234,2,1.69,1.99,0.0,0.0,0,0,0.83616,1.99,1.69,0.3,No,0.0,0.0,0.3,2,CH,0.9308,99,1,1,0.9308,0.9836769759450172,1,0.9473137643766814,0.0047886400000000055,0.0027758394241558506
100,100,101,CH,236,2,1.75,1.99,0.0,0.0,0,0,0.868928,1.99,1.75,0.24,No,0.0,0.0,0.24,2,CH,0.9494,100,1,1,0.9494,0.9863100252737996,1,0.9522259473012734,0.0025603599999999976,0.0022823601112607053
101,101,102,CH,237,2,1.75,1.99,0.0,0.0,0,0,0.895142,1.99,1.75,0.24,No,0.0,0.0,0.24,2,CH,0.9637,101,1,1,0.9637,0.9893727859970828,1,0.9522259473012734,0.0013176899999999998,0.0022823601112607053
102,102,103,CH,240,2,1.75,1.99,0.0,0.3,0,1,0.916114,1.69,1.75,-0.06,No,0.150754,0.0,0.24,2,CH,0.9454,102,1,1,0.9454,0.9843650961335304,1,0.9522259473012734,0.002981159999999998,0.0022823601112607053
103,103,104,MM,241,2,1.75,1.99,0.0,0.3,0,1,0.932891,1.69,1.75,-0.06,No,0.150754,0.0,0.24,2,CH,0.9486,103,1,0,0.9486,0.2887931034482759,1,0.9522259473012734,0.89984196,0.9067342547138075
104,104,105,CH,243,2,1.86,2.09,0.0,0.0,0,1,0.746313,2.09,1.86,0.23,No,0.0,0.0,0.23,2,CH,0.9155,104,1,1,0.9155,0.9776854080070008,1,0.9473137643766814,0.007140250000000003,0.0027758394241558506
105,105,106,CH,245,2,1.89,2.09,0.0,0.0,0,0,0.79705,2.09,1.89,0.2,No,0.0,0.0,0.2,2,CH,0.9508,105,1,1,0.9508,0.9894891738490644,1,0.9522259473012734,0.002420640000000002,0.0022823601112607053
106,106,107,CH,245,1,1.86,2.09,0.17,0.0,0,0,0.83764,2.09,1.69,0.4,No,0.0,0.091398,0.23,1,CH,0.9811,106,1,1,0.9811,0.9942868802285248,1,0.9522259473012734,0.00035721000000000103,0.0022823601112607053
107,107,108,CH,248,2,1.89,2.09,0.0,0.0,0,0,0.870112,2.09,1.89,0.2,No,0.0,0.0,0.2,2,CH,0.9677,107,1,1,0.9677,0.990246939199004,1,0.9522259473012734,0.0010432899999999997,0.0022823601112607053
108,108,109,CH,248,2,1.89,2.09,0.0,0.0,0,0,0.89609,2.09,1.89,0.2,No,0.0,0.0,0.2,2,CH,0.9704,108,1,1,0.9704,0.9893004115226336,1,0.9522259473012734,0.0008761599999999976,0.0022823601112607053
